name,image_url
SymRadiance399 + 10% Niacinamide Bright & Barrier Repair Serum,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1738637999.webp
SymRadiance399 + 5% Niacinamide Bright & Barrier Booster Moisture Gel,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1738637394.webp
Perfect Bright Pore Perfecting C-Glow Serum,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1737609535.webp
Wardah Micro Peeling Serum,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1736913379.webp
UV SHIELD TONE UP SUNSCREEN SERUM SPF 50 PA+++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1724900104.webp
Vitamin C + 8X NMF Amino Radiant Charge Gel Cleanser,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1722312998.webp
Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1722312496.webp
Wardah C-Defense Vitamin C + Panthenol Anti-Pollution Radiant Creamy Wash,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1721980705.webp
Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1721980481.webp
UV Shield Physical Sunscreen Serum SPF50+ PA++++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1721799595.webp
UV Shield Airy Smooth Sunscreen Serum SPF50 PA++++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1718092872.webp
UV Shield Acne Calming Sunscreen Serum SPF50 PA++++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1722488111.webp
UV Shield Acne Calming Sunscreen Moisturizer SPF35 PA+++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1722488153.webp
UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1692066063.webp
UV Shield Light Matte Sun Stick SPF 50 PA++++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648122932.png
UV Shield Active Protection Serum SPF 50 PA++++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648122826.png
UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1718267834.webp
Crystal Secret Radiance Serum Mask,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1678852548.webp
Crystal Secret Micellar Cleansing Gel,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645418993.png
Crystal Secret Refreshing Day Gel,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645418271.png
Crystal Secret Bright Peptide + 5% Niacinamide Hyperpigmentation Expert Night Moisturizer,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1730253894.webp
Crystal Secret Alpha Arbutin + 5% Niacinamide Hyperpigmentation Expert Day Moisturize,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1730253760.webp
Crystal Secret Eyes Dark Circle Corrector,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648517720.png
Crystal Secret Pure Treatment Essence,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645417900.png
Crystal Secret 3% Tranexamic Complex + Alpha Arbutin Dark Spot Corrector Serum,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1730253170.webp
Crystal Secret Exfoliating Toner with Natural AHA+PHA,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645419263.png
Nature Daily SuperSerum Mask,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1678852634.webp
C-defense SuperSerum Mask,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1678851853.webp
